Herb_ChineseName	Pinyin name	Pharmacopoeial Latin name	Botanical source	Botanical authority	Standardized botanical name source	Material category	Botanical/source note	type	Nature, Flavor and Toxicity	Meridian Tropism	Traditional Actions	Traditional Indications
陈皮	Chen Pi	Citri Reticulatae Pericarpium	Citrus reticulata	Blanco	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe pericarp; ChP 2020 Vol.1, Page 80	phytomedicine	苦、辛，温	归肺、脾经	理气健脾，燥湿化痰	用于脘腹胀满，食少吐泻，咳嗽痰多
赤芍	Chi Shao	Paeoniae Radix Rubra	Paeonia lactiflora	Pall	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried root; ChP 2020 Vol.1, Page 82	phytomedicine	苦，微寒	归肝经	清热凉血，散瘀止痛	用于热入营血，温毒发斑，吐血衄血，目赤肿痛，肝郁胁痛，经闭痛经，癥瘕腹痛，跌扑损伤，痈肿疮疡
楮实子	Chu Shi Zi	Broussonetiae Fructus	Broussoneria papyrifera	(L.) L'Hér. ex Vent.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part is the dried ripe fruit of the plant.	phytomedicine	甘，寒	归肝、肾经	补肾清肝，明目，利尿	用于肝肾不足，腰膝酸软，虚劳骨蒸，头晕目昏，目生翳膜，水肿胀满
川贝母	Chuan Bei Mu	Fritillariae Cirrhosae Bulbus	Fritillaria cirrhosa	D.Don	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried bulb; ChP 2020 Vol.1, Page 87	phytomedicine	苦、甘，微寒	归肺、心经	清热润肺，化痰止咳，散结消痈	用于肺热燥咳，干咳少痰，阴虚劳嗽，痰中带血，瘰疬，乳痈，肺痈
川牛膝	Chuan Niu Xi	Cyathulae Radix	Cyathula officinalis	Kuan	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root; ChP 2020 Vol.1, Page 89	phytomedicine	甘、微苦，平	归肝、肾经	逐瘀通经，通利关节，利尿通淋	用于经闭癥瘕，胞衣不下，跌扑损伤，风湿痹痛，足痿筋挛，尿血血淋
川芎	Chuan Qiong	Chuanxiong Rhizoma	Ligusticum chuanxiong	Hort.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 90	phytomedicine	辛，温	归肝、胆、心包经	活血行气，祛风止痛	用于胸痹心痛，胸胁刺痛，跌扑肿痛，月经不调，经闭痛经，癥瘕腹痛，头痛，风湿痹痛
穿山龙	Chuan Shan Long	Dioscoreae Nipponicae Rhizoma	Dioscorea nipponica	Makino	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried rhizome; collected in spring/autumn	phytomedicine	平，苦	归肝、肺经	祛除风湿，活血通络，止痛消肿	用于风湿痹痛，肌肤麻木，关节屈伸不利，跌打损伤，淤血阻滞，热痰咳嗽
垂盆草	Chui Pen Cao	Sedi Herba	Sedum sarmentosum	Bunge	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried whole herb; ChP 2020 Vol.1, Page 93	phytomedicine	甘、淡，凉	归肝经、胆经、小肠经	清热解毒，利湿退黄	用于湿热黄疸，小便不利，痈肿疮疡，急、慢性肝炎
椿皮	Chun Pi	Ailanthi Cortex	Ailanthus altissima	(Mill.) Swingle	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part: dried root bark or stem bark of Ailanthus altissima.	phytomedicine	苦、涩，寒	归大肠、胃、肝经	清热燥湿，收涩止带，止泻，止血	用于赤白带下，湿热泻痢，久泻久痢，便血，崩漏
磁石	Ci Shi	Magnetitum	Not applicable (mineral)	Not applicable (mineral)	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	mineral medicine	Mineral-derived medicine; Main component: Fe₃O₄; ChP 2020 Vol.1, Page 75	Mineral Medicine	咸，寒	归肝、心、肾经	镇惊安神，平肝潜阳，聪耳明目，纳气平喘	用于惊悸失眠，头晕目眩，视物昏花，耳鸣耳聋，肾虚气喘
刺五加	Ci Wu Jia	Acanthopanacis Senticosi Radix et Rhizoma seu Caulis	Eleutherococcus senticosus	(Rupr. & Maxim.) Maxim.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part is the dried root and rhizome, or stem of the plant.	phytomedicine	辛、微苦，温	归脾、肾、心经	益气健脾，补肾安神	用于脾肾阳虚，体虚乏力，食欲不振，腰膝酸痛，失眠多梦
大腹皮	Da Fu Pi	Arecae Pericarpium	Areca catechu	L.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried pericarp; ChP 2020 Vol.1, Page 96	phytomedicine	辛，微温	归脾、胃、大肠、小肠经	行气宽中，行水消肿	用于湿阻气滞，脘腹胀闷，大便不爽，水肿胀满，脚气浮肿，小便不利
大枣	Da Zao	Jujubae Fructus	Ziziphus jujuba	Mill.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe fruit; ChP 2020 Vol.1, Page 101	phytomedicine	甘，温	归脾、胃、心经	补中益气，养血安神	用于脾虚食少，乏力便溏，妇人脏躁
丹参	Dan Shen	Salviae Miltiorrhizae Radix et Rhizoma	Salvia miltiorrhiza	Bge.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 103	phytomedicine	苦，微寒	归心、肝经	活血祛瘀，通经止痛，清心除烦，凉血消痈	用于胸痹心痛，脘腹胁痛，癥瘕积聚，热痹疼痛，心烦不眠，月经不调，痛经经闭，疮疡肿痛
淡豆豉	Dan Dou Chi	Sojae Semen Praeparatum	Glycine max	(L.) Merr.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Fermented processed product; Medicinal base: soybean; ChP 2020 Vol.1, Page 105	phytomedicine	苦、辛，凉	归肺、胃经	解表，除烦，宣发郁热	用于感冒，寒热头痛，烦躁胸闷，虚烦不眠
当归	Dang Gui	Angelicae Sinensis Radix	Angelica sinensis	(Oliv.) Diels	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root; ChP 2020 Vol.1, Page 28	phytomedicine	甘、辛，温	归肝、心、脾经	补血活血，调经止痛，润肠通便	用于血虚萎黄，眩晕心悸，月经不调，经闭痛经，虚寒腹痛，风湿痹痛，跌扑损伤，痈疽疮疡，肠燥便秘。酒当归活血通经，用于经闭痛经，风湿痹痛，跌扑损伤
党参	Dang Shen	Codonopsis Radix	Codonopsis pilosula; Codonopsis pilosula var. modesta; Codonopsis tangshen	(Franch.) Nannf.; (Nannf.) L.T.Shen; Oliv.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part is the dried root. All three listed taxa are legally acceptable original plants in Chinese Pharmacopoeia.	phytomedicine	甘，平	归脾、肺经	健脾益肺，养血生津	用于脾肺气虚，食少倦怠，咳嗽虚喘，气血不足，面色萎黄，心悸气短，津伤口渴，内热消渴
地骨皮	Di Gu Pi	Lycii Cortex	Lycium chinense	Mill.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried root bark; ChP 2020 Vol.1, Page 108	phytomedicine	甘，寒	归肺、肝、肾经	凉血除蒸，清肺降火	用于阴虚潮热，骨蒸盗汗，肺热咳嗽，咯血，衄血，内热消渴
地黄	Di Huang	Rehmanniae Radix	Rehmannia glutinosa	(Gaertn.) DC.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: tuberous root; raw material for Shudihuang; ChP 2020 Vol.1, Page 109	phytomedicine	甘、苦，寒	归心、肝、肾经	鲜地黄　清热生津，凉血，止血	用于热病伤阴，舌绛烦渴，温毒发斑，吐血，衄血，咽喉肿痛
地龙	Di Long	Pheretima	Pheretima aspergillum; Pheretima vulgaris; Pheretima guillelmi; Pheretima pectinifera	(E.Perrier); Chen; (Michaelsen); Michaelsen	Chinese Pharmacopoeia 2020 Edition; GBIF	animal-derived medicine	"Medicinal part is the dried body of the animal. All four listed species are legally acceptable original animals in Chinese Pharmacopoeia. Pheretima aspergillum is commonly known as ""Guang Dilong"", while the other three are collectively known as ""Hu Dilong""."	Animal Medicines	咸，寒	归肝、脾、膀胱经	清热定惊，通络，平喘，利尿	用于高热神昏，惊痫抽搐，关节痹痛，肢体麻木，半身不遂，肺热喘咳，水肿尿少
地榆	Di Yu	Sanguisorbae Radix	Sanguisorba officinalis	L.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried root; ChP 2020 Vol.1, Page 111	phytomedicine	苦、酸、涩，微寒	归肝、大肠经	凉血止血，解毒敛疮	用于便血，痔血，血痢，崩漏，水火烫伤，痈肿疮毒
丁香	Ding Xiang	Caryophylli Flos	Eugenia caryophllata	Thunb	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried flower bud; ChP 2020 Vol.1, Page 112	phytomedicine	辛，温	归脾、胃、肺、肾经	温中降逆，补肾助阳	用于脾胃虚寒，呃逆呕吐，食少吐泻，心腹冷痛，肾虚阳痿
冬瓜子	Dong Gua Zi	Benincasae Semen	Benincasa hispida	(Thunb.) Cogn.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 114	phytomedicine	味甘，性微寒	归肺，大肠经	清肺化痰，消痈排脓，利湿	主痰热咳嗽，肺痈，肠痈，白浊，带下，脚气，水肿，淋证
豆蔻	Dou Kou	Amomi Fructus Rotundus	Amomum kravanh	Pierre ex Gagnep.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried nearly ripe fruit; ChP 2020 Vol.1, Page 115	phytomedicine	辛，温	归肺、脾、胃经	化湿行气，温中止呕，开胃消食	用于湿浊中阻，不思饮食，湿温初起，胸闷不饥，寒湿呕逆，胸腹胀痛，食积不消
杜仲	Du Zhong	Eucommiae Cortex	Eucommia ulmoides	Oliv.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried stem bark; ChP 2020 Vol.1, Page 117	phytomedicine	甘，温	归肝、肾经	补肝肾，强筋骨，安胎	用于肝肾不足，腰膝酸痛，筋骨无力，头晕目眩，妊娠漏血，胎动不安
莪术	E Shu	Curcumae Rhizoma	Curcuma aerugionosa	Roxb	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 118	phytomedicine	辛、苦，温	归肝、脾经	行气破血，消积止痛	用于癥瘕痞块，瘀血经闭，胸痹心痛，食积胀痛
鹅不食草	E Bu Shi Cao	Centipedae Herba	Centipeda minima	(L.) A.Braun et Asch.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried whole herb; collected in summer/autumn	phytomedicine	辛，温	归肺经	发散风寒，通鼻窍，止咳	用于风寒头痛，咳嗽痰多，鼻塞不通，鼻渊流涕
儿茶	Er Cha	Acaciae Catechu	Senegalia catechu	(L.f.) P.J.H.Hurter & Mabb.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine (extract)	Medicinal material is the dried decoction extract prepared from the peeled branch and stem of the plant. The basionym Acacia catechu (L.f.) Willd. is widely cited in Chinese Pharmacopoeia and traditional medicinal literature.	phytomedicine	苦、涩，微寒	归肺、心经	活血止痛，止血生肌，收湿敛疮，清肺化痰	用于跌扑伤痛，外伤出血，吐血衄血，疮疡不敛，湿疹、湿疮，肺热咳嗽
法半夏	Fa Ban Xia	Pinelliae Rhizoma Praeparatum	Pinellia ternata	(Thunb.) Breit.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 半夏; Toxic medicinal material; Medicinal part: dried tuber; ChP 2020 Vol.1, Page 42	phytomedicine	辛，温，有毒	归脾、胃、肺经	燥湿化痰，降逆止呕，消痞散结	用于痰多咳喘、痰饮眩悸、内痰眩晕、呕吐反胃、胸脘痞闷、梅核气症；生用外治痈肿痰核，姜半夏多用于降逆止呕
防风	Fang Feng	Saposhnikoviae Radix	Saposhnikovia divaricata	(Turcz.) Schischk.	Zhongyao Da Baike (https://zhongyibaike.com/wiki/%E4%B8%AD%E8%8D%AF%E5%A4%A7%E5%85%A8)	plant-derived medicine	Medicinal part: dried root; collected in spring/autumn; main areas: Northeast China, Inner Mongolia	phytomedicine	辛、甘，微温	归膀胱、肝、脾经	祛风解表，胜湿止痛，止痉	用于感冒头痛，风湿痹痛，风疹瘙痒，破伤风
防己	Fang Ji	Stephaniae Tetrandrae Radix	Stephania tetrandra	S. Moore	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried root; collected in autumn/winter	phytomedicine	苦，寒	归膀胱、肺经	祛风止痛，利水消肿	用于风湿痹痛，水肿脚气，小便不利，湿疹疮毒
茯苓	Fu Ling	Poria	Wolfiporia cocos	(Schwein.) Ryvarden & Gilb.	POWO; WFO; Chinese Pharmacopoeia 2020 Edition	fungus-derived medicine	Medicinal part is the dried sclerotium of the fungus. The synonym Poria cocos (Schwein.) F.A.Wolf is widely accepted and cited in Chinese Pharmacopoeia and traditional medicinal literature.	phytomedicine	甘、淡，平	归心、肺、脾、肾经	利水渗湿，健脾，宁心	用于水肿尿少，痰饮眩悸，脾虚食少，便溏泄泻，心神不安，惊悸失眠
茯神	Fu Shen	Poria cum Radix Pini	Poria cocos	(Schw.) Wolf	Zhongyao Da Baike	fungus-derived medicine	Medicinal part: sclerotium with pine core; processed like Poria	phytomedicine	甘，淡，平	归心，脾经	宁心，安神，利水	治心虚惊悸，健忘，失眠，惊痫，小便不利
浮小麦	Fu Xiao Mai	Tritici Levis Fructus	Triticum aestivum	L.	Zhongyao Da Baike (https://zhongyibaike.com/wiki/%E4%B8%AD%E8%8D%AF%E5%A4%A7%E5%85%A8)	plant-derived medicine	Medicinal part: dried light/shrunken seed; screened from common wheat	phytomedicine	甘，凉	归心经	除虚热，止汗	治骨蒸劳热，止自汗盗汗
附子	Fu Zi	Aconiti Lateralis Radix Praeparata	Aconitum carmichaelii	Debx.	Zhongyao Da Baike	processed plant-derived medicine	Toxic; processed to reduce toxicity; medicinal part: daughter root	phytomedicine	辛、甘，大热；有毒	归心、肾、脾经	回阳救逆，补火助阳，散寒止痛	用于亡阳虚脱，肢冷脉微，心阳不足，胸痹心痛，虚寒吐泻，脘腹冷痛，肾阳虚衰，阳痿宫冷，阴寒水肿，阳虚外感，寒湿痹痛
覆盆子	Fu Pen Zi	Rubi Fructus	Rubus chingii	Hu	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried aggregate fruit; collected in summer	phytomedicine	甘、酸，温	归肝、肾、膀胱经	益肾固精缩尿，养肝明目	用于遗精滑精，遗尿尿频，阳痿早泄，目暗昏花
干姜	Gan Jiang	Zingiberis Rhizoma	Zingiber officinale	Rosc	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried rhizome; collected in winter	phytomedicine	辛，热	归脾、胃、肾、心、肺经	温中散寒，回阳通脉，温肺化饮	用于脘腹冷痛，呕吐泄泻，肢冷脉微，寒饮喘咳
甘草	Gan Cao	Glycyrrhizae Radix et Rhizoma	Glycyrrhiza uralensis	Fisch	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 100	phytomedicine	甘，平	归心、肺、脾、胃经	补脾益气，清热解毒，祛痰止咳，缓急止痛，调和诸药	用于脾胃虚弱，倦怠乏力，心悸气短，咳嗽痰多，脘腹、四肢挛急疼痛，痈肿疮毒，缓解药物毒性、烈性
甘松	Gan Song	Nardostachyos Radix et Rhizoma	Nardostachys jatamansi	DC.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried root and rhizome; collected in autumn; aromatic	phytomedicine	辛、甘，温	归脾、胃经	理气止痛，开郁醒脾；外用祛湿消肿	用于脘腹胀满，食欲不振，呕吐；外用治牙痛，脚气肿毒
葛根	Ge Gen	Puerariae Lobatae Radix	Pueraria montana var. lobata	(Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part is the dried root of the plant. The synonym Pueraria lobata (Willd.) Ohwi is widely cited in Chinese Pharmacopoeia and traditional medicinal literature.	phytomedicine	甘、辛，凉	归脾、胃、肺经	解肌退热，生津止渴，透疹，升阳止泻，通经活络，解酒毒	用于外感发热头痛，项背强痛，口渴，消渴，麻疹不透，热痢，泄泻，眩晕头痛，中风偏瘫，胸痹心痛，酒毒伤中
钩藤	Gou Teng	Uncariae Ramulus cum Uncis	Uncaria rhynchophylla; Uncaria macrophylla; Uncaria hirsuta; Uncaria sinensis; Uncaria sessilifructus	(Miq.) Miq. ex Havil.; Wall.; Havil.; (Oliv.) Havil.; Roxb.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part is the dried stem branch with hooks. All five listed species are legally acceptable original plants in Chinese Pharmacopoeia.	phytomedicine	甘，凉	归肝、心包经	息风定惊，清热平肝	用于肝风内动，惊痫抽搐，高热惊厥，感冒夹惊，小儿惊啼，妊娠子痫，头痛眩晕
狗脊	Gou Ji	Cibotii Rhizoma	Cibotium barometz	 (L.) J.Sm.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine (fern)	Medicinal part is the dried rhizome of the plant.	phytomedicine	苦、甘，温	归肝、肾经	祛风湿，补肝肾，强腰膝	用于风湿痹痛，腰膝酸软，下肢无力
枸杞子	Gou Qi Zi	Lycii Fructus	Lycium barbarum	L.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe fruit; ChP 2020 Vol.1, Page 240	phytomedicine	甘，平	归肝、肾经	滋补肝肾，益精明目	用于虚劳精亏，腰膝酸痛，眩晕耳鸣，阳萎遗精，内热消渴，血虚萎黄，目昏不明
谷精草	Gu Jing Cao	Eriocauli Flos	Eriocaulon buergerianum	Koern.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried inflorescence; collected in summer/autumn	phytomedicine	辛、甘，平	归肝、肺经	疏散风热，明目退翳	用于风热目赤，肿痛羞明，眼生翳膜，风热头痛
瓜蒌	Gua Lou	Trichosanthis Fructus	Trichosanthes kirilowii	Maxim	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe fruit; split into halves before drying	phytomedicine	甘、微苦，寒	归肺、胃、大肠经	清热涤痰，宽胸散结，润燥滑肠	用于肺热咳嗽，痰浊黄稠，胸痹心痛，结胸痞满，乳痈，肺痈，肠痈，大便秘结
瓜蒌皮	Gua Lou Pi	Trichosanthis Pericarpium	Trichosanthes kirilowii	Maxim	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried pericarp; separated from Trichosanthis Fructus	phytomedicine	甘，寒	归肺、胃经	清热化痰，利气宽胸	用于痰热咳嗽，胸闷胁痛
瓜蒌子	Gua Lou Zi	Trichosanthis Semen	Trichosanthes kirilowii	Maxim	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe seed; often stir-fried to enhance efficacy	phytomedicine	甘，寒	归肺、胃、大肠经	润肺化痰，滑肠通便	用于燥咳痰黏，肠燥便秘
瓜萎子	Gua Wei Zi	Trichosanthis Semen	Trichosanthes kirilowii	Maxim.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe seed; often stir-fried to enhance efficacy	phytomedicine	甘，寒	归肺、胃、大肠经	润肺化痰，滑肠通便	用于燥咳痰黏，肠燥便秘
